Roch type,Sample,Age,Sm,Nd,147Sm/144Nd,143Nd/144Nd,Err,eNd(0),eNd(t)
Komatiitic basalt,OL1601,3000,1.99,5.78,0.2069,0.51294,6,5.8,1.89
Komatiitic basalt,OL1602,3000,2.08,6.19,0.2017,0.51284,8,3.9,1.99
Komatiitic basalt,OL16100,3000,1.97,6.18,0.1911,0.51262,5,-0.4,1.74
Komatiitic basalt,O-1-1,3000,1.88,5.73,0.1988,0.51283,6,3.7,2.89
Komatiitic basalt,O-1-2,3000,2.06,6.44,0.1937,0.51268,4,0.8,2
Tholeiitic basalts,OL1604,3000,2.87,8.27,0.2087,0.51294,5,5.8,1.19
Tholeiitic basalts,OL1606,3000,1.59,4.06,0.2356,0.51348,6,16.4,1.35
Tholeiitic basalts,OL1607,3000,1.63,4.23,0.2308,0.51341,9,15,1.89
Tholeiitic basalts,OL1610,3000,1.6,5.61,0.1714,0.51223,5,-8,1.85
Tholeiitic basalts,OL1612,3000,1.67,5.9,0.1702,0.51225,6,-7.6,2.68
Tholeiitic basalts,OL1613,3000,1.55,5.48,0.1701,0.51226,6,-7.4,2.92
Tholeiitic basalts,OL1614,3000,0.85,2.58,0.1973,0.51268,6,0.8,0.53
Tholeiitic basalts,OL1615,3000,2.02,6.41,0.1894,0.5127,4,1.1,3.98
Tholeiitic basalts,OL1616,3000,2.08,6.12,0.2046,0.51282,5,3.6,0.59
Tholeiitic basalts,OL1617,3000,1.99,5.92,0.2015,0.51281,5,3.4,1.62
Tholeiitic basalts,OL1621,3000,3.1,9.04,0.2056,0.51295,5,6,2.61
Tholeiitic basalts,OL1623,3000,1.76,5.28,0.2,0.5129,4,5.1,3.85
Tholeiitic basalts,OL1624,3000,1.77,6.26,0.1696,0.51222,6,-8.2,2.26
Tholeiitic basalts,OL1650,3000,1.92,5.94,0.1945,0.51278,6,2.7,3.59
Tholeiitic basalts,OL1651,3000,2.18,6.02,0.2172,0.51304,5,7.9,0.02
Tholeiitic basalts,O-1-1,3000,1.88,5.73,0.1988,0.51283,6,3.7,2.89
Tholeiitic basalts,O-10,3000,1.6,4.73,0.2044,0.51288,8,4.8,1.81
Tholeiitic basalts,O-11-3,3000,1.52,5.1,0.1799,0.51246,6,-3.5,3.05
Tholeiitic basalts,O-19-1,3000,2.16,6.4,0.2043,0.51294,6,5.8,2.89
Tholeiitic basalts,O-2,3000,2.81,8.23,0.2064,0.51291,6,5.3,1.52
Tholeiitic basalts,O-4,3000,1.79,4.76,0.2275,0.5134,8,14.8,2.92
