Sample,Os,Ir,Ru,Pt,Pd,Re,187Re/188Os,187Os/188Os,187Os/188Os(i),_Os(i),TRD (Ga),TMA (Ga)
PM25-8,1.32,1.64,3.03,6.58,2.01,0.05,0.1594,0.12018,0.12002,_7.1,1.31,2.05
PM25-10,1.78,4.39,5.93,5.63,0.78,0.02,0.0585,0.11718,0.11712,_9.3,1.7,1.96
PM26-4,2.69,3.6,6.02,8.48,5.06,0.29,0.9851,0.12438,0.1237,_4.3,0.81,Future
PM26-5,2.19,3.6,5.04,7.26,4.87,0.08,0.2669,0.12337,0.12319,_4.7,0.88,2.24
PM24-21,2.67,3.38,6.89,8.02,4.89,0.3,1.0069,0.12381,0.12361,_4.6,0.82,Future
PM24-41,1.65,1.75,3.71,4.89,2.64,0.08,0.271,0.12394,0.12389,_4.3,0.78,2.05
PM27A-9,3.34,2.73,10.2,3.29,0.28,0.09,0.2965,0.11469,0.11469,_11.5,2.02,6.13
PM27B-1B,1.52,1.74,2.47,1.89,0.2,0.06,0.1963,0.11628,0.11627,_10.3,1.81,3.26
PM27B-2,2.18,2.75,3.69,3.27,0.34,0.04,0.1452,0.11389,0.11389,_12.1,2.13,3.17
PM27B-12B,1.56,1.51,2.37,2.11,0.58,0.07,0.2185,0.11791,0.1179,_9.0,1.59,3.16
PM23-3,3.19,3.95,8.55,8.42,1.17,0.01,0.0279,0.11589,0.11589,_10.6,1.86,1.99
PM23-21,0.09,0.29,0.69,0.72,0.01,0.01,0.0235,0.13554,0.13554,4.6,Future,Future
PM21-1A,0.94,1.56,2.66,2.83,1.48,0.04,0.1439,0.12447,0.12446,_3.9,0.7,1.05
PM21-6A,2.1,3.08,4.71,4.47,1.13,0.04,0.1197,0.11648,0.11647,_10.1,1.78,2.45
PM21-9,1.84,3.2,5.38,4.94,1.46,0.03,0.0914,0.11483,0.11483,_11.4,2,2.53
PM20-8,0.8,0.9,1.31,5.25,1.05,0.07,0.2279,0.12366,0.12365,_4.6,0.81,1.7
PM20-20,1.78,1.92,4.48,4.17,3.91,0.07,0.2343,0.12238,0.12237,_5.6,0.99,2.12
PM20-22,1,1.52,2.73,3.23,0.16,0.04,0.1493,0.11455,0.11455,_11.6,2.04,3.08
