Sample,Os (ng/g),Ir (ng/g),Ru (ng/g),Pt (ng/g),Pd (ng/g),Re (ng/g),187Re/188Os,187Os/188Os,TRD(Ga),TMa(Ga),187Os/188Osi(Sm-Nd),_Osi
KC87-104D,4.44,3.65,6.02,0.048,0.125,0.0078,0.0084,0.10557,3.15,3.21,0.10509,1.2
KC87-104E,4.36,3.83,6.25,0.205,0.109,0.0145,0.016,0.10534,3.18,3.31,0.10442,0.5
KC91-21A,2.57,2.43,5.63,0.96,1.08,0.0471,0.0881,0.10544,3.17,4.01,0.10036,_3.4
KC91-21B,2.23,2.07,5.77,0.542,0.793,0.0236,0.0507,0.10412,3.35,3.81,0.10119,_2.6
dupl.,2.5,2.03,5.53,0.567,0.448,0.0175,0.0336,0.10453,3.29,3.58,0.10259,_1.2
KC91-52A,3.57,3.38,4.18,0.753,0.274,0.0042,0.0057,0.10786,2.83,2.87,0.10753,3.5
KC91-52B,3.86,3.04,6.23,0.583,0.18,0.0096,0.012,0.10558,3.15,3.24,0.10488,1
dupl.,4.12,3,,0.626,0.119,0.0083,0.01,0.10554,3.15,3.23,0.10499,1.1
KC91-52D,4.15,3.68,6.14,0.546,0.209,0.006,0.0069,0.10529,3.19,3.24,0.10489,1
KC91-52C,1.09,1.31,5.66,7.82,6.77,0.556,2.49,0.21283,,2.41,,
dupl.,1.13,1.3,5.46,8.2,6.42,0.48,2.07,0.20934,,2.88,,
KC87-114G,4.08,3.83,3.05,0.849,0.558,0.0073,0.0086,0.10481,3.25,3.32,0.10431,0.4
KC87-114I,4.31,2.56,4.29,0.528,0.494,0.0056,0.0062,0.10458,3.29,3.34,0.10422,9.4
KC87-114K,7.03,4.57,4.02,10.5,4.17,0.0058,0.004,0.10504,3.22,3.25,0.10481,10
dupl.,4.05,2.94,3.67,3.61,3.01,0.0049,0.0058,0.10626,3.05,3.1,0.10593,11.1
KC87-119A,2.56,1.84,5.43,6.47,7.85,0.384,0.724,0.14171,,2.63,0.10002,4.9
dupl.1,2.46,1.81,4.97,7.78,7.25,0.375,0.735,0.14344,,2.85,0.10109,6.1
dupl.2,2.97,1.97,5.07,7.02,7.13,0.377,0.613,0.13651,,2.56,0.10117,6.2
dupl.3,2.66,1.97,5.14,7.16,7.22,0.374,0.679,0.14037,,2.77,0.10126,6.2
dupl.4,2.54,1.82,5.44,5.86,7.94,0.427,0.811,0.14918,,3.14,0.10245,7.5
KC87-119A2,2.55,1.98,5.77,6.19,6.15,0.418,0.794,0.17177,,,0.12602,32.2
KC87-102,0.867,0.78,6.38,3.33,3.95,0.0061,0.0339,0.10581,3.12,3.39,0.10386,9
dupl.,,0.882,6.21,3.87,3.86,0.0049,,,,,,
KC87-106A,1.1,0.815,2.55,10.3,11.8,0.159,0.702,0.13875,,2.3,,
KC91-32A,0.923,0.938,10.1,1.78,0.938,0.002,0.0106,0.10689,2.97,3.04,0.10628,11.5
KC91-32B,4.09,2.13,16.2,33,0.78,0.0142,0.0167,0.10578,3.12,3.25,0.10481,10
KC91-32D,0.839,0.583,11,1.2,0.925,0.0063,0.0358,0.10603,3.09,3.37,0.10397,9.1
KC91-32E,3.22,2.83,8.14,0.925,0.599,0.0194,0.029,0.10512,3.21,3.45,0.10345,8.5
KC91-32F,0.654,0.512,8.27,1.9,1.02,0.0033,0.0246,0.10591,3.1,3.29,0.1045,9.6
KC91-32C-1,1.55,1.3,10.4,15,8.2,0.0056,0.0175,0.10577,3.12,3.26,0.10476,9.9
KC91-32C-2,0.052,0.025,0.246,1.56,5.29,0.0052,0.483,0.1182,1.37,,,
KC91-32C-3,1.22,0.811,6.22,13.8,11.3,0.0057,0.0223,0.10658,3.01,3.18,0.1053,10.5
KC91-32C-4,0.031,0.006,0.084,0.812,2.76,0.0106,1.63,0.1504,,1.11,,
KC87-111E,2.41,2.45,4,6.9,16.9,0.533,1.07,0.16766,,3.54,0.09815,11.3
dupl.,2.45,1.93,4.13,6.9,16.1,0.556,1.1,0.17085,,3.63,0.09915,12.6
KC87-111F,2.82,2.32,5.27,12.1,,0.0795,0.136,0.14281,,,0.13396,
dupl.,2.82,2.18,5.56,14.3,61.1,0.075,0.129,0.1678,,,0.15945,
KC87-111G,2.78,2.05,4.35,2.21,5.37,0.0062,0.0106,0.10284,3.53,3.62,0.10214,7.3
dupl.,3.45,2.43,4.43,2.55,7.05,0.0068,0.0094,0.10245,3.58,3.66,0.10184,6.9
KC87-111I,3.91,2.33,7.63,9.67,2.52,0.0117,0.0143,0.10278,3.54,3.66,0.10185,7
dupl.1,3.2,2.44,7.03,9.52,2.12,0.0095,0.0143,0.10281,3.53,3.65,0.10188,7
dupl.2,2.24,2.12,7,9.91,2.48,0.0097,0.0209,0.1037,3.41,3.59,0.10234,7.5
KC87-111K,1.72,1.43,4.86,12.1,24,0.0024,0.0068,0.1023,3.6,3.66,0.10185,6.9
dupl.,1.63,1.28,4.61,11.2,21.5,0.0025,0.0074,0.10233,3.6,3.66,0.10185,6.9
KC87-115D,0.397,0.444,1.48,2.69,3.58,0.444,5.58,0.3992,,3.07,,
