[764] FARLEY K. A., BASU A. R., CRAIG H. ; HE, SR, AND ND ISOTOPIC VARIATIONS IN LAVAS FROM THE JUAN FERNANDEZ ARCHIPELAGO, SE PACIFIC ; CONTRIB. MINERAL. PETROL. 115 [1993] 75-87
[766] DIXON T. H., BATIZA R., FUTA K., MARTIN D. ; PETROCHEMISTRY, AGE AND ISOTOPIC COMPOSITION OF ALKALI BASALTS FROM PONAPE ISLAND, WESTERN PACIFIC ; CHEM. GEOL. 43 [1984] 1
[1596] HAWKESWORTH C. J., NORRY M. J., RODDICK J. C., BAKER P. E., FRANCIS P. W., THORPE R. S. ; 143ND/144ND, 87SR/86SR AND INCOMPATIBLE ELEMENT VARIATIONS IN CALC-ALKALINE AND PLATEAU LAVAS FROM SOUTH AMERICA ; EARTH PLANET. SCI. LETT. 42 [1979] 45-57
[2489] MORRIS J. D., LEEMAN B. W., TERA F. ; THE SUBDUCTED COMPONENT IN ISLAND ARC LAVAS: CONSTARINTS FROM BE ISOTOPES AND B-BE SYSTEMATICS ; NATURE 344 [1990] 31-36
[2506] DEPAOLO D. J., WASSERBURG G. J. ; THE SOURCES OF ISLAND ARCS AS INDICATED BY ND AND SR ISOTOPIC STUDIES ; GEOPHYS. RES. LETT. 4 [1977] 465-468
[2645] COMPSTON W., MCDOUGALL I., HEIER K. S. ; GEOCHEMICAL COMPARISON OF THE MESOZOIC BASALTIC ROCKS OF ANTARCTICA, SOUTH AFRICA, SOUTH AMERICA AND TASMANIA ; GEOCHIM. COSMOCHIM. ACTA 32 [1968] 129-149
[2843] HILDRETH W., MOORBATH S. ; CRUSTAL CONTRIBUTION TO ARC MAGMATISM IN THE ANDES OF CENTRAL CHILE ; CONTRIB. MINERAL. PETROL. 98 [1988] 455-489
[3080] MAGARITZ M., WHITFORD D. J., JAMES D. E. ; OXYGEN ISOTOPES AND THE ORIGIN OF HIGH->87) SR/ >86) SR ANDESITES ; EARTH PLANET. SCI. LETT. 40 [1978] 220-230
[3212] DAVIDSON J. P., MCMILLAN N. J., MOORBATH S., WÖRNER G., HARMON R. S., LOPEZ-ESCOBAR L. ; THE NEVADOS DE PAYACHATA VOLCANIC REGION (18°S/69°W, N. CHILE) II. EVIDENCE FOR WIDESPREAD CRUSTAL INVOLVEMENT IN ANDEAN MAGMATISM ; CONTRIB. MINERAL. PETROL. 105 [1990] 412-432
[3213] FEELEY T. C., DAVIDSON J. P. ; PETROLOGY OF CALC-ALKALINE LAVAS OF VOLCAN OLLAGÜE AND THE ORIGIN OF COMPOSITIONAL DIVERSITY AT CENTRAL ANDEAN STRATOVOLCANOES ; J. PETROL. 35 [1994] 1295-1340
[3215] FREY F. A., GERLACH D. C., HICKEY R. L., LOPEZ-ESCOBAR L., MUNIZAGA-VILLAVICENCIO F. ; PETROGENESIS OF THE LAGUNA DEL MAULE VOLCANIC COMPLEX, CHILE (36°S) ; CONTRIB. MINERAL. PETROL. 88 [1984] 133-149
[3216] GERLACH D. C., FREY F. A., MORENOROA H., LOPEZ-ESCOBAR L. ; RECENT VOLCANISM IN THE PUYEHUE-CORDON CAULLE REGION, SOUTHERN ANDES, CHILE (40.5°S): PETROGENESIS OF EVOLVED LAVAS ; J. PETROL. 29 [1988] 333-382
[3222] MATTHEWS S. J., JONES A. P., GARDEWEG M. C. ; LASCAR VOLCANO, NORTHERN CHILE: EVIDENCE FOR STEADY-STATE DISEQUILIBRIUM ; J. PETROL. 35 [1994] 401-432
[3227] WÖRNER G., HARMON R. S., DAVIDSON J. P., MOORBATH S., TURNER D. L., MCMILLAN N. J., NYE C. J., LOPEZ-ESCOBAR L., MORENOROA H. ; THE NEVADOS DE PAYACHATA VOLCANIC REGION (18°S/69°W, N. CHILE) I. GEOLOGICAL, GEOCHEMICAL AND ISOTOPIC OBSERVATIONS ; BULL. VOLCANOL. 50 [1988] 287-303
[3229] JAMES D. E. ; A COMBINED O, SR, ND, AND PB ISOTOPIC AND TRACE ELEMENT STUDY OF CRUSTAL CONTAMINATION IN ANDEAN LAVAS, I. LOCAL GEOCHEMICAL VARIATIONS ; EARTH PLANET. SCI. LETT. 57 [1982] 47-62
[3230] JAMES D. E., BROOKS C. K., CUYUBAMBA A. ; ANDEAN CENOZOIC VOLCANISM: MAGMA GENESIS IN THE LIGHT OF STRONTIUM ISOTOPE COMPOSITION AND TRACE ELEMENT GEOCHEMISTRY ; BULL. GEOL. SOC. AM. 87 [1976] 592-600
